"Name","baseline","data.graph_generator.num_nodes","data.graph_generator.seed","backward_relative_penalty"
"baseline_expediate_transsegmental","SCORE","","","0.6666666666666666"
"baseline_osteogeny_thoracodidymus","VarSort","","","0.6666666666666666"
"12676832_spewed_scarpetti","VI_DP_DAG","6","712","0.2222222222222222"
"12676831_longing_characterizer","VI_DP_DAG","6","8374","0.3333333333333333"
"12676830_comvia_longitudinally","VI_DP_DAG","6","42","0.375"
"12676829_mellitum_negotiability","VI_DP_DAG","5","8374","0"
"12676828_oological_narrators","VI_DP_DAG","5","712","0.6666666666666666"
"12676827_foist_cryptograph","VI_DP_DAG","5","42","0.8"
"12676826_astacus_stromatal","VI_DP_DAG","4","8374","0.6666666666666666"
"12676824_bogyland_whaled","VI_DP_DAG","4","42","0.3333333333333333"
"12676825_overeye_knight","VI_DP_DAG","4","712","0.75"
"12676823_shune_dejectedness","VI_DP_DAG","3","8374","0.5"
"12676822_neurilema_advertisable","VI_DP_DAG","3","712","0.5"
"12676821_noveboracensis_testament","VI_DP_DAG","3","42","1"
"12676820_pogromist_discanonization","VarSort","6","712","0.7777777777777778"
"12676818_bryozoa_microbiology","VarSort","6","8374","1"
"12676819_scoad_transiliac","VarSort","6","42","1"
"12676817_thirt_motorcars","VarSort","5","8374","1"
"12676816_sublumbar_peopledom","VarSort","5","712","0.8333333333333334"
"12676815_precava_ulerythema","VarSort","5","42","1"
"12676814_dishmop_tomomania","VarSort","4","712","1"
"12676812_unrepiningly_soberlike","VarSort","4","42","1"
"12676811_sotnik_tari","VarSort","3","8374","1"
"12676809_winces_archangelica","VarSort","3","712","1"
"12676810_argumentative_redmouth","VarSort","3","42","1"
"12676808_cloyne_unterribly","SCORE","6","8374","1"
"12676806_loricate_smocked","SCORE","6","712","0.4444444444444444"
"12676805_tarzan_negators","SCORE","5","8374","0.6666666666666666"
"12676804_sapiences_saffior","SCORE","5","712","0.3333333333333333"
"12676807_confetti_erotema","SCORE","6","42","0.5"
"12676803_communicate_tsurugi","SCORE","5","42","0.8"
"12676802_nonmasculine_skinch","SCORE","4","8374","0.6666666666666666"
"12676801_rotator_glebes","SCORE","4","712","0.5"
"12676800_uvularia_nettles","SCORE","4","42","0.6666666666666666"
"12676799_bdellovibrio_tanhouse","SCORE","3","8374","0.5"
"12676798_leeky_signatural","SCORE","3","42","1"
"12676796_hoverport_wagneresque","DAGuerreo","6","8374","0"
"12676793_embolus_solderability","DAGuerreo","5","712","0.6666666666666666"
"12676791_pointmen_unvulgarizing","DAGuerreo","5","42","0.8"
"12676792_vitiation_exumbral","DAGuerreo","5","8374","0"
"12676794_uncontrived_portentosity","DAGuerreo","6","42","0.375"
"12676795_howff_inurning","DAGuerreo","6","712","0.6666666666666666"
"12676790_poetised_incisive","DAGuerreo","4","8374","0.6666666666666666"
"12676789_glyptal_archin","DAGuerreo","4","712","0.75"
"12676788_preservers_abiological","CAM","5","8374","0.3333333333333333"
"12676781_blvd_acousmatic","DAGuerreo","3","712","0"
"12676787_laptop_regiments","CAM","6","712","0.5555555555555556"
"12676786_rummages_naias","DAGuerreo","3","42","1"
"12676784_retained_slabbers","CAM","6","42","0.25"
"12676783_dilatant_resonantly","DAGuerreo","4","42","0.6666666666666666"
"12676785_instructing_nonexhortation","CAM","6","8374","0.3333333333333333"
"12676782_potwort_blackbrush","DAGuerreo","3","8374","0"
"12676768_uloborid_untempestuously","CAM","3","8374","1"
"12676777_overheight_benim","CAM","3","42","1"
"12676778_dandyism_manstopper","bi_LSNM","6","8374","0.3333333333333333"
"12676767_cryogens_naturistically","CAM","4","42","0.3333333333333333"
"12676775_nemertea_permitting","CAM","4","8374","0.3333333333333333"
"12676776_harim_nontractably","CAM","4","712","0.5"
"12676774_deadworks_unquieted","CAM","5","42","0.6"
"12676769_martinico_dactylically","CAM","3","712","1"
"12676773_washermen_antimasonic","CAM","5","712","0.6666666666666666"
"12676772_xanthocone_skelloch","bi_LSNM","5","712","0.3333333333333333"
"12676771_dismiss_hyperfastidious","bi_LSNM","6","712","0.4444444444444444"
"12676779_expressman_electroplaque","bi_LSNM","6","42","0.625"
"12676780_fied_ithiel","bi_LSNM","5","8374","0"
"12676770_headreach_insident","bi_LSNM","5","42","0.6"
"12676761_hologynies_silkscreening","bi_LSNM","4","8374","0.3333333333333333"
"12676762_nonrelieving_challiho","bi_LSNM","4","712","0.25"
"12676766_sentencing_gonalgia","bi_LSNM","3","8374","1"
"12676764_pseudoscientifically_diligently","bi_LSNM","3","712","0.5"
"12676765_gneissic_overprotect","bi_LSNM","4","42","0.6666666666666666"
"12676763_orlo_pols","bi_LSNM","3","42","0"
